,extracted_name,refine_flag,region,trial_num
0,王淑华,True,1,0
1,王丽华,True,1,0
2,王丽华,True,1,0
3,王淑华,True,1,0
4,王淑华,True,1,0
5,王丽华,True,1,0
6,王淑华,True,1,0
7,林淑華,True,0,0
8,王淑华,True,1,0
9,王淑华,True,1,0
10,陳麗娟,True,0,0
11,王丽华,True,1,0
12,陳麗娟,True,0,0
13,王丽华,True,1,0
14,陳麗娟,True,0,0
15,王淑华,True,1,0
16,王淑华,True,1,0
17,王淑华,True,1,0
18,王丽华,True,1,0
19,王淑华,True,1,0
20,王淑华,True,1,0
21,王淑华,True,1,0
22,王丽华,True,1,0
23,王丽华,True,1,0
24,陳麗華,True,0,0
25,林淑華,True,0,0
26,王丽华,True,1,0
27,王淑华,True,1,0
28,王淑华,True,1,0
29,王丽华,True,1,0
30,陳麗華,True,0,0
31,王淑华,True,1,0
32,王丽华,True,1,0
33,王丽华,True,1,0
34,陳麗華,True,0,0
35,王淑华,True,1,0
36,王淑华,True,1,0
37,王淑华,True,1,0
38,王淑华,True,1,0
39,陳麗華,True,0,0
40,王丽华,True,1,0
41,王丽华,True,1,0
42,王丽华,True,1,0
43,王丽华,True,1,0
44,王淑华,True,1,0
45,王丽华,True,1,0
46,王淑华,True,1,0
47,陳麗娟,True,0,0
48,陳麗華,True,0,0
49,王丽华,True,1,0
50,王淑华,True,1,0
51,林淑華,True,0,0
52,陳麗華,True,0,0
53,王淑华,True,1,0
54,陳麗娟,True,0,0
55,王淑华,True,1,0
56,王淑华,True,1,0
57,王淑华,True,1,0
58,王淑华,True,1,0
59,陳麗娟,True,0,0
60,林淑華,True,0,0
61,王丽华,True,1,0
62,王淑华,True,1,0
63,王丽华,True,1,0
64,陳麗娟,True,0,0
65,王淑华,True,1,0
66,王淑华,True,1,0
67,王丽华,True,1,0
68,陳麗華,True,0,0
69,王丽华,True,1,0
70,王丽华,True,1,0
71,王丽华,True,1,0
72,王丽华,True,1,0
73,王淑华,True,1,0
74,王淑华,True,1,0
75,陳麗華,True,0,0
76,王淑华,True,1,0
77,王丽华,True,1,0
78,陳麗華,True,0,0
79,林淑華,True,0,0
80,王淑华,True,1,1
81,陳麗娟,True,0,1
82,王丽华,True,1,1
83,王丽华,True,1,1
84,王丽华,True,1,1
85,王淑华,True,1,1
